hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
00046	AK1	NP_000467.1	Adenylate kinase, soluble;Adenylate kinase, isoenzyme 1;ATP-AMP transphosphorylase;Myokinase;EC 2.7.4.3
00047	AK2	NP_001616.1	Adenylate kinase 2 isoform b;Adenylate kinase 2 isoform a;Adenylate kinase isoenzyme 2, mitochondrial;Adenylate kinase, mitochondrial;ADK2;EC 2.7.4.3
00048	AK3L1	NP_037542.1	Adenylate kinase-3, mitochondrial;GTP:AMP phosphotransferase;EC 2.7.4.3;EC 2.7.4.10;Adenylate kinase 3;AK3;AK4;ATP-AMP transphosphorylase;Nucleoside-triphosphate-adenylate kinase;Mitochondrial adenylate kinase isoenzyme 4;Adenylate kinase 3 alpha like 1;AKL3L
00049	ADSL	NP_000017.1	Adenylosuccinase;ASASE;ASL;EC 4.3.2.2
00050	ADSS	NP_001117.2	IMP aspartate ligase;AdSS;AMPSase;Adenylosuccinate synthetase;ADEH;EC 6.3.4.4
00051	ADCY8	NP_001106.1	Adenylyl cyclase, brain type I;Adenylate cyclase 3;ADCY3;HBAC1;ACVIII;AC8;Adenylate cyclase, type VIII;ATP pyrophosphate-lyase;Ca(2+)/calmodulin activated adenylyl cyclase
00052	ADCY2	NP_065433.2	Adenylate cyclase, brain type II;ATP pyrophosphate lyase;Adenylate cyclase II;3`,5` cyclic AMP synthetase;KIAA1060;HBAC2
00053	ADCY1	NP_066939.1	Adenylate cyclase, type I;ATP pyrophosphate lyase;3 prime, 5 prime cyclic AMP synthetase;Ca(2+)/calmodulin activated adenylyl cyclase;AC1;Adenyl cyclase, fetal brain, type I
00054	ARF1	NP_001649.1	-
00055	ARF5	NP_001653.1	-
00056	ARF3	NP_001650.1	-
00057	PLIN2	NP_001113.2	Adipophilin;ADRP;ADPH
00058	SLC25A4	NP_001142.2	ADP/ATP carrier protein heart/skeletal muscle isoform T1;ANT1;ADP/ATP translocator of skeletal muscle;ANT;ADP/ATP translocase 1;Adenine nucleotide translocator 1;PEO2;PEO3
00059	FDX1	NP_004100.1	ADX;Ferredoxin 1;Adrenal ferredoxin;Hepatoredoxin
00060	FDXR	NP_004101.2	Ferredoxin reductase isoform 1;ADXR;Ferredoxin:NADP(+) reductase;NADPH:adrenodoxin oxidoreductase;AR;AdR;EC 1.18.1.2
00061	ADM	NP_001115.1	AM;Proadrenomedullin N-20 terminal peptide;ProAM-N20;ProAM N-terminal 20 peptide;PAMP
00062	ALB	NP_000468.1	-
00063	ADH1A	NP_000658.1	Alcohol dehydrogenase 1A, alpha polypeptide;ADH, alpha subunit;ADH1;Alcohol dehydrogenase, alpha chain;EC 1.1.1.1
00064	ADH5	NP_000662.3	Alcohol dehydrogenase, chi isozyme;ADH, class III;ADHX;Alcohol dehydrogenase class III, chi chain;Glutathione dependent formaldehyde dehydrogenase;EC 1.1.1.1;EC 1.2.1.1
00065	ADH1B	NP_000659.2	ADH2;Alcohol dehydrogenase 1B, beta polypeptide;ADH, beta subunit;EC 1.1.1.1
00066	ADH1C	NP_000660.1	ADH3;Alcohol dehydrogenase 1C, gamma polypeptide;ADH, gamma subunit;EC 1.1.1.1
00067	ADH6	NP_001095940.1	EC 1.1.1.1
00068	ADH4	NP_000661.2	Alcohol dehydrogenase, pi isozyme;ADH, classII;Alcohol dehydrogenase, class II pi chain;EC 1.1.1.1
00069	AKR1A1	NP_006057.1	Aldo-keto reductase family 1, member A1;ALR;ALDR1;Alcohol dehydrogenase [NADP+];EC 1.1.1.2
00070	ALDOA	NP_000025.1	Aldolase A, Fructose-bisphosphate;Fructose 1,6-bisphosphate aldolase A;Aldolase A;ALDA;Fructoaldolase A;EC 4.1.2.13
00071	AKR1B1	NP_001619.1	EC 1.1.1.21;Aldo-keto reductase family 1, member B1;Aldehyde reductase 1;AR;ALDR1
00072	A2M	NP_000005.2	-
00073	AFM	NP_001124.1	Albumin, alpha;ALBA;ALB2;Alb, alpha
00074	AFP	NP_001125.1	HPAFP;Fetoprotein, alpha 1;Fetoprotein, alpha;FETA
00075	ZFHX3	NP_008816.3	AT motif binding factor;AT binding transcription factor 1
00076	NAGA	NP_000253.1	Alpha-GalNAc;GLAB;N-Acetyl Alpha-D-galactosidase;EC 3.2.1.49
00077	GANC	NP_937784.2	Alpha glucosidase C;Neutral alpha glucosidase C, type 2;Neutral alpha glucosidase C, type 3;EC 3.2.1.20
00078	ADRA2A	NP_000672.3	ADRA2R;ADRAR;ADRA2;Alpha 2A adrenoceptor;Alpha 2AAR subtype C10;Platelet type adrenoceptor, alpha2A
00079	ADRA1D	NP_000669.1	Alpha 1D adrenoceptor;Alpha-1A adrenergic receptor;Alpha adrenergic receptor 1a
00080	ADRA1B	NP_000670.1	Alpha 1 adrenergic receptor;ADRA1;Alpha 1B adrenoceptor
00081	ADRA1A	NP_150646.3	Alpha 1A adrenoceptor;Alpha 1C adrenergic receptor;ADRA1C;ADRA1L1;ALPHA1AAR;Alpha 1A adrenergic receptor isoform 1;Alpha 1A adrenergic receptor isoform 4;Alpha 1A adrenergic receptor, isoform 2;Alpha 1A -3A
00082	LRPAP1	NP_002328.1	Macroglobulin, Alpha 2 receptor associated protein;A2RAP;MRAP;Low density lipoprotein receptor related protein associated protein 1;A2MRAP;MRAP, Alpha 2
00083	FUT4	NP_002024.1	CD15;Myeloid associated surface antigen;Fucosyltransferase, Alpha 3;FCT3A;Galactoside 3 L-fucosyltransferase;FUCT-IV;ELAM-1 ligand fucosyltransferase;3-fucosyl N-acetyllactosamine;EC 2.4.1.-
00084	ST3GAL4	NP_006269.1	Beta-galactoside alpha-2,3-sialyltransferase;Alpha-3-N-acetylneuraminyltransferase;CMP-N-acetylneuraminate-beta-galactosimide-alpha-2,3-sialyltransferase;CGS23;NANTA3;STZ;SIAT4-C;ST3Gal III;SAT-3;ST-4;Alpha 2,3-sialyltransferase IV;Alpha 2,3-ST;Gal-NAc6S;EC 2.4.99.-
00085	ADRA2C	NP_000674.2	Alpha 2C adrenoceptor
00086	ADRA2B	NP_000673.2	ADRA2L1;Alpha 2B adrenoceptor;Alpha 2 adrenergic receptor like 1
00087	PSEN1	NP_000012.1	PS1;S182;PSNL1;AD3;FAD;Protein S182;Presenilin 1 isoform I-467
00088	ABP1	NP_001082.2	Diamine oxidase;DAO;Amiloride binding protein;EC 1.4.3.6
00089	CCT6A	NP_001753.1	Chaperonin containing TCP1 subunit 6A zeta 1;Chaperonin containing T-complex subunit 6;T complex protein, zeta 1 subunit;TCP 1 zeta;CCT zeta;CCT zeta 1;Tcp20;HTR3;T complex homolog TCP20;CCT6;Histidine transport regulator 3;Amino acid transport defect complementing;Cctz;TCPZ;TTCP20;Chaperonin containing TCP1, subunit 6A isoform b;Chaperonin containing TCP1, subunit 6A isoform a;MoDP 2;MGC126214;MGC126215;Acute morphine dependence related protein 2
00090	SLC3A1	NP_000332.2	Solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport) member 1;Neutral and basic amino acid transport protein rBAT;Amino acid transporter 1;ATR1;D2H;RBAT;NBAT;CSNU1;B(0,+) type amino acid transport protein
00091	SLC7A1	NP_003036.1	Cationic amino acid transporter1;Amino acid transporter cationic 1;ATRC1;HCAT1;High affinity cationic amino acid transporter1;CAT1;System Y+ basic amino acid transporter;REC1L
00092	ACY1	NP_000657.1	L-amino acid acid amidohydrolase, N-acyl;ACY 1;ACYLASE;EC 3.5.1.14
00093	AREG	NP_001648.1	AR;Schwannoma Derived Growth Factor;SDGF;Colorectum cell derived growth factor;Amphiregulin preproprotein
00094	AMY2A	NP_000690.1	1,4-alpha-D-glucan glucanohydrolase;Pancreatic alpha-amylase;PA;Amy-2A;Amylase alpha 2A;EC 3.2.1.1
00095	AMY2B	NP_066188.1	1,4-alpha-D-glucan glucanohydrolase;Alpha-amylase carcinoid;Alpha-amylase 2B;EC 3.2.1.1
00096	AMY1A	NP_004029.2	AMY1;Amylase, salivary A;Amylase, salivary, alpha-1A;Alpha amylase, salivary;EC 3.2.1.1
00097	SAA1	NP_000322.2	Amyloid protein A;SAA;Serum amyloid A protein;PIG4;TP53I4;Tumor protein p53 inducible protein 4;Serum amyloid A1 isoform 1;Serum amyloid A1 isoform 2
00098	SAA2	NP_110381.2	Amyloid A serum 2;Serum amyloid A protein Precursor
00099	SAA4	NP_006503.1	CSAA;Constitutive isotype of serum amyloid A
00100	APP	NP_000475.1	CVAP;PN2;ABPP;Cerebral vascular amyloid peptide;Protease nexin II;PN II;APPI;PreA4;AAA;ABETA;AD1;CTFgamma;A4 amyloid protein;Amyloid-beta protein;APP751;Amyloid beta A4 protein isoform b;Amyloid beta A4 protein isoform c;Amyloid beta A4 protein isoform a
00101	APCS	NP_001630.1	Amyloid P component, serum;SAP;PTX2;Pentaxin related
00102	APLP1	NP_001019978.1	Amyloid beta A4 precursor like protein1;Amyloid precursor like protein;APLP
00103	APLP2	NP_001633.1	Amyloid beta A4 precursor like protein 2;APPH;CDEI-box binding protein;CDEBP;Sperm membrane protein;APPL2
00104	ALK	NP_004295.2	Anaplastic lymphoma kinase;Anaplastic lymphoma kinase Ki 1;Anaplastic lymphoma kinase receptor;ALK tyrosine kinase receptor;CD246 antigen
00105	ANG	NP_001136.1	Angiogenin;Ribonuclease A family, 5;RNASE5
00106	AGT	NP_000020.1	Serpina8;Angiotensinogen;Angiotensin II
00107	AGTR1	NP_114038.1	Angiotensin II receptor vascular type 1;AT2R1;AT1;AG2S;HAT1RB;Angiotensin II receptor, type 1;Angiotensin receptor 1B;Type-1B angiotensin II receptor
00108	ACE	NP_000780.1	ACE1;Dipeptidyl carboxypeptidase 1;DCP1;Kininase II;ACE-T;DCP;CD143;MGC26566;Peptidase P;CD143 antigen;Testicular ECA;Carboxycathepsin;Peptidyl-dipeptidase A;EC 3.4.15.1;Angiotensin converting enzyme, testis specific isoform;Angiotensin converting enzyme, somatic isoform
00109	SLC4A3	NP_963868.2	AE3;SLC2C;CAE3/BAE3;Anion exchanger 3;Anion exchange, neuronal
00110	ANK2	NP_001139.3	Ankyrin, nonerythroid;Ankyrin, brain;Ankyrin, neuronal;Ankyrin B;Ankyrin 2 isoform 2;Ankyrin 2 isoform 1
00111	ANXA3	NP_005130.1	Annexin A3;ANX3;Lipocortin III;Placental anticoagulant protein III;PAP III;35-alpha calcimedin;Inositol 1,2-cyclic phosphate 2-phosphohydrolase;EC 3.1.4.36
00112	ANXA4	NP_001144.1	Annexin A4;ANX4;Placental anticoagulant protein II;Lipocortin IV;Endonexin I;Chromobindin 4;Protein II
00113	CD19	NP_001761.3	CD19 antigen;B lymphocyte antigen CD19;Cell surface protein CD19
00114	CD22	NP_001762.2	CD22 antigen;B cell antigen CD22;Sialic acid binding immunoglobulin like lectin 2;B cell receptor CD22;Leu 14;B lymphocyte cell adhesion molecule;BL-CAM;Lyb-8
00115	CD44	NP_000601.3	CD44 antigen;Pgp1;MDU3;Phagocytic glycoprotein I;PGP-1;HUTCH-I;Extracellular matrix receptor-III;ECMR-III;GP90 lymphocyte homing/adhesion receptor;Hermes antigen;Hyaluronate receptor;Heparan sulfate proteoglycan;Epican;CDw44;Lymphocyte homing receptor HCAM p85;HCAM;CD44 antigen isoform 2;CD44 antigen isoform 3;CD44 antigen isoform 4;CD44 antigen isoform 5
00116	CD38	NP_001766.2	CD38 antigen;ADP ribosyl cyclase;cADPr hydrolase 1;Lymphocyte differentiation antigen CD38;T10;EC 3.2.2.5
00117	CD59	NP_000602.1	CD59 ANTIGEN P18 20;Human leukocyte antigen MIC11;MIC11;CD59 glycoprotein;Membrane attack complex inhibition factor;MACIF;MAC inhibitory protein;MACIP;MEM43 antigen;Protectin;20 kDa homologous restriction factor;HRF20;1F5 antigen;MIRL;P18
00118	CD72	NP_001773.1	CD72 antigen;B cell differentiation antigen CD72;LYB2;RP11-331F9.9;CD72b;OTTHUMP00000045360
00119	CD69	NP_001772.1	Early T cell activation antigen p60;Early activation antigen CD69;Leu 23;MLR 3;AIM
00120	SERPINA3	NP_001076.2	AACT;ACT
00121	SLPI	NP_003055.1	Antileukoprotease;Antileukoproteinase 1 precursor;Human seminal proteinase inhibitor;HUSI;HUSI-1;BLPI;Mucus proteinase inhibitor;Seminal proteinase inhibitor;Protease inhibitor WAP4
00122	SERPINC1	NP_000479.1	AT-III;AT3;SERPINC1 Serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1
00123	SLC9A1	NP_003038.2	Antiporter sodium-hydrogen ion, amiloride sensitive;APNH;Sodium/hydrogen exchanger 1;Na(+)/H(+) exchanger 1;NHE1;Na+/H+ antiporter;Na+/H+ antiporter, amiloride sensitive
00124	ALDH7A1	NP_001173.2	Antiquitin;Antiquitin 1;ATQ1;Aldehyde dehydrogenase 7A1;EC 1.2.1.3
00125	CD3EAP	NP_036231.1	ASE1;CD3 epsilon associated signal transducer;CAST
00126	IFNAR1	NP_000620.2	IFN receptor 1;Antiviral protein, alpha;AVP;IFNBR;IFNAR;Antiviral protein, beta type;Interferon (alpha, beta and omega) receptor 1;IFRC interferon, beta receptor;Interferon alpha/beta receptor alpha chain;IFN alpha REC
00127	IFNGR1	NP_000407.1	AVP type II;Immune interferon receptor 1;IFNG receptor;CD119 antigen;CD119
00128	TFAP2A	NP_003211.1	AP2;Activating enhancer binding protein 2 alpha;AP2 transcription factor;AP2TF;TFAP2;AP2 alpha;Activator protein 2;Transcription factor AP-2 alpha;Transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha);Transcription factor AP-2 alpha isoform a;Transcription factor AP-2 alpha isoform b
00129	APOA2	NP_001634.1	-
00130	APOA4	NP_000473.2	-
00131	APOC1	NP_001636.1	Apo-CI
00132	APOC3	NP_000031.1	Apo CIII
00133	APOB	NP_000375.2	APOB100;APOB48;FHBL;FHBL 1
00134	APOD	NP_001638.1	ASOB2
00135	APOE	NP_000032.1	-
00136	APEX1	NP_542380.1	APEX;Apurinic endonuclease;APE;APE1;Human apurinic endonuclease 1;HAP1;Apurinic/apyrimidinic exonuclease;Redox factor1;REF1;AP endonuclease 1
00137	APOF	NP_001629.1	Apo-F;Lipid transfer inhibitor protein;LTIP
00138	LRP1	NP_002323.2	Lipoprotein receptor-related protein;Alpha-2 macroglobulin receptor;Apolipoprotein receptor;Apolipoprotein E receptor;Alpha-2 MRA;APOER;RAP;CD91;A2MR;LRP;APR
00139	NR2F2	NP_066285.1	Apolipoprotein AI regulatory protein 1;SVP40;ADP ribosylation factor related protein 1;COUPTF II;COUPTFB;ARP1;Transcription factor coup 2;TFCOUP2;Chicken ovalbumin upstream promoter transcription factor 2
00140	AQP1	NP_000376.1	CHIP28;AQP CHIP;Aquaporin CHIP;Urine water channel;Channel like integral membrane protein, 28-KD;Water channel protein for red blood cells and kidney proximal tubule;Colton blood group;Aquaporin-1 (channel-forming integral protein, 28kDa)
00141	AQP2	NP_000477.1	AQP-CD;WCH-CD;Aquaporin-CD;ADH water channel;Water channel protein for renal collecting duct
00142	RARS	NP_002878.2	ArgRS;EC 6.1.1.19
00143	ARG2	NP_001163.1	Arginase II, mitochondrial;Non hepatic arginase;Kidney type arginase;EC 3.5.3.1
00144	TNFRSF17	NP_001183.2	B-cell maturation factor;BCM;Tumor necrosis factor receptor superfamily, member 17
00145	DDC	NP_000781.1	Aromatic-L-amino-acid decarboxylase;AADC;EC 4.1.1.28
00146	ARRB1	NP_004032.2	Arrestin, beta, 1;ARB1;ARR1;Arrestin beta 1 isoform B
00147	ARRB2	NP_004304.1	Arrestin beta 2 isoform 2;Arrestin beta 2 isoform 1
00148	CYP1A1	NP_000490.1	Cytochrome P450, aromatic compound inducible;Arylhydrocarbon hydroxylase;AHH;Flavoprotein linked monooxygenase;Cytochrome P1-450, dioxin inducible;Cytochrome P1-450, inducible by 2,3,7,8-tetrachlorodibenzo P dioxin;TCDD-inducible cytochrome P1-450;P450DX;Polycyclic aromatic compound inducible P450;P450-P1;P450 form 6;P450-C;EC 1.14.14.1
00149	NAT1	NP_000653.3	Arylamide acetylase 1;AAC1;Arylamine N-acetyltransferase 1;Acetyl-CoA arylamine N-acetyltransferase;Arylamine N-acetyltransferase, monomorphic;MNAT;EC 2.3.1.5
00150	GRB2	NP_002077.1	Growth factor receptor bound protein 2;ASH;Abundant Src homology protein;Growth factor receptor-bound protein 2 isoform 1;Growth factor receptor-bound protein 2 isoform 2
00151	ASGR1	NP_001662.1	Hepatic lectin H1;ASGPR;ASGP-R
00152	ASGR2	NP_550434.1	Hepatic lectin H2;ASGPR;L-H2;CLEC4H2;C-type lectin domain family 4, member H2;Asialoglycoprotein receptor H2;Asialoglycoprotein receptor 2 isoform c
00153	ASNS	NP_597680.2	Human complement for sensitive mutant ts11;Glutamine dependent asparagine synthetase;TS11 cell cycle control protein;AS;TS11;EC 6.3.5.4
00154	NARS	NP_004530.1	ASNRS;EC 6.1.1.22
00155	ACLY	NP_001087.2	CLATP;ATPCLTT;ATPCL;ATP-citrate synthase;EC 2.3.3.8;Citrate cleavage enzyme;ATP citrate lyase isoform 2;ATP citrate lyase isoform 1
00156	ATP5C1	NP_001001973.1	ATP synthase H+transporting mitochondrial F1 complex gamma subunit 1;ATP5C;Mitochondrial ATP synthase gamma subunit 1;ATP synthase gamma chain mitochondrial;EC 3.6.3.14;ATP synthase H+ transporting mitochondrial F1 complex gamma subunit isoform H (heart) precursor;ATP synthase, H+ transporting, mitochondrial F1 complex, gamma subunit isoform L (liver) precursor
00157	ATP2A1	NP_775293.1	SERCA1;ATPase Ca(2+) transporting fast twitch 1;Calcium pump 1;SR Ca(2+) ATPase 1;Endoplasmic reticulum class 1/2 Ca(2+) ATPase;Calcium transporting ATPase sarcoplasmic reticulum, type fast twitch skeletal muscle isoform;Sarcoplasmic reticulum Ca(2+) ATPase 1;ATPase, Ca++ transporting, fast twitch 1 isoform b;ATPase, Ca++ transporting, fast twitch 1 isoform a
00158	ATP2B1	NP_001673.2	ATPase Ca(2+) transporting plasma membrane 1;PMCA1;Plasma membrane calcium transporting ATPase 1b;Plasma membrane calcium ATPase 1 isoform 1b;Plasma membrane calcium ATPase 1 isoform 1a
00159	ATP2B4	NP_001675.3	ATPase Ca(2+) transporting plasma membrane 4;Plasma membrane calcium-transporting ATPase 4;PMCA4;Plasma membrane calcium ATPase 4 isoform 4a;Plasma membrane calcium ATPase 4 isoform 4b
00160	ATP2B2	NP_001001331.1	ATPase Ca(2+) transporting plasma membrane 2;PMCA2;PMCA2b;Plasma membrane calcium transporting ATPase 2;Plasma membrane calcium ATPase 2 isoform 2;Plasma membrane calcium ATPase 2 isoform 1
00161	ATP2A2	NP_733765.1	SERCA2;ATPase, Ca(2+) transporting, slow twitch;ATP2B;Sarcoplasmic reticulum Ca(2+) ATPase 2;Calcium pump 2;SR Ca(2+) ATPase 2;Calcium transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform;Endoplasmic reticulum class 1/2 Ca(2+) ATPase;ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 isoform 2;ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 isoform 1
00162	ATP6V0C	NP_001685.1	ATPase H+ transporting lysosomal 16 KD V0 subunit C;ATPase H+ transporting lysosomal;ATP6L;Vacuolar ATP synthase 16 kDa proteolipid subunit;ATP6C;ATPL
00163	ATP6V1E1	NP_001687.1	ATPase H+ transporting lysosomal subunit E;ATP6E;Vacuolar proton pump 31-KD Subunit;Vacuolar proton pump E subunit;V-ATPase 31 kDa subunit;P31;V-ATPase E subunit;Vacuolar ATP synthase subunit E
00164	NPPA	NP_006163.1	Atrial natriuretic polypeptide;Prepronatriodilatin;ANP;Cardionatrin;Atrionatriureticfactor;ANF;Pronatriodilatin;PND;CDD-ANF;Atriopeptin;Natriuretic peptide precursor A
00165	NPR1	NP_000897.3	Atrial natriuretic peptide receptor, type A;ANPRA;Atrionatriuretic peptide receptor, type A;GUC2A;ANP-A;Natriuretic peptide receptor;GC-A;NPRA
