00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
00014	-	NP_001603.1	ACRV1	General	Receptor binding (GO:0005102)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Golgi apparatus (GO:0005794); Lysosome (GO:0005764)	2298314,8288254,11730901
00014	00014_1	NP_001603.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00014	00014_2	NP_064454.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_3	NP_064492.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_4	NP_064493.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_5	NP_064494.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_6	NP_064496.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_7	NP_064498.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_9	NP_064495.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00014	00014_10	NP_064500.1	ACRV1	Isoform_specific	Receptor binding (GO:0005102)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00015	-	NP_005150.1	ACTC1	General	Structural constituent of cytoskeleton (GO:0005200)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11936879,12445881,10847344
00016	-	NP_001606.1	ACTG2	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737)	10655297
00017	-	NP_001605.1	ACTG1	General	Structural constituent of cytoskeleton (GO:0005200)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Cytosol (GO:0005829)	3335520,16263121
00018	-	NP_001449.3	FLNC	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737)	12525170
00019	-	NP_001094.1	ACTN2	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Mitochondrial membrane (GO:0005740); Actin filament (GO:0005884)	11440986,15147863,15147863
00020	-	NP_001123476.1	ACTN1	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Mitochondrial membrane (GO:0005740); Cytosol (GO:0005829); Cytoskeleton (GO:0005856); Mitochondrion (GO:0005739); Nucleus (GO:0005634)	9599291,15147863,16263121,15561729,15598749,17081983
00021	-	NP_001096.1	ACVR1	General	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8622651,12032389
00022	-	NP_002907.1	RFC4	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730)	12509469,12192049,15561729,15635413
00022	00022_1	NP_002907.1	RFC4	Isoform_specific	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
00022	00022_2	NP_853551.1	RFC4	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	-
00023	-	NP_150241.2	PML	General	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Nucleolus (GO:0005730); Nuclear matrix (GO:0016363)	10669754,17000644,15705566,9671498,15017387,11399766,15652821,17081983,10669754,17081983,11158586,7780148
00023	00023_1	NP_150241.2	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	10806494	Regulation of gene expression, epigenetic (GO:0040029)	10806494	Nucleus (GO:0005634); Nuclear matrix (GO:0016363)	1311253,7780148
00023	00023_2	NP_002666.1	PML	Isoform_specific	Transporter activity (GO:0005215)	-	-	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Centrosome (GO:0005813)	1311253,1311253,15749021
00023	00023_3	NP_150242.1	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634)	12093737
00023	00023_4	NP_150243.2	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634)	12093737
00023	00023_6	NP_150247.2	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634)	12093737
00023	00023_8	NP_150249.1	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634)	11704850
00023	00023_9	NP_150250.2	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Cytoplasm (GO:0005737)	12093737
00023	00023_10	NP_150252.1	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	Nucleus (GO:0005634)	12093737
00023	00023_11	NP_150253.2	PML	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of gene expression, epigenetic (GO:0040029)	-	-	-
00024	-	NP_002904.3	RFC1	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730)	12766176,16438930,15561729,15635413
00024	00024_1	NP_002904.3	RFC1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
00025	-	NP_001607.1	ACVR2A	General	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8622651,12032389
00026	-	NP_644805.1	STAT3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Mitochondrion (GO:0005739); Cell surface (GO:0009986)	12039028,15145953,15143062,14701810,12060494,10464281,11815625,9211920,12628925,16331268,12039028,15145953,15143062,15141228,14701810,12623850,9211920,7624343,15037656,12628925,16331268,12867595,12389630,15037656
00026	00026_1	NP_644805.1	STAT3	Isoform_specific	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
00026	00026_2	NP_003141.2	STAT3	Isoform_specific	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
00026	00026_3	NP_998827.1	STAT3	Isoform_specific	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Extracellular matrix (GO:0005578)	15037656
00027	-	NP_001628.1	AOAH	General	Hydrolase activity (GO:0016787)	-	Immune response (GO:0006955)	-	Lysosome (GO:0005764); Extracellular (GO:0005576)	8089145,8613354
00028	-	NP_612457.1	ACYP2	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	9070879,9070879
00029	-	NP_000476.1	APRT	General	Transferase activity (GO:0016740)	3531209	Purine salvage (GO:0043101)	3531209	-	-
00030	-	NP_001091.1	ACTA1	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Kinetochore (GO:0000776); Extracellular (GO:0005576)	10508519,11780067,16188874
00031	-	NP_001604.1	ACTA2	General	Structural constituent of cytoskeleton (GO:0005200)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Mitochondrion (GO:0005739)	8138584,15598749
00032	-	NP_001092.1	ACTB	General	Structural constituent of cytoskeleton (GO:0005200)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794); Plasma membrane (GO:0005886); Nucleolus (GO:0005730); Cytosol (GO:0005829); Extracellular (GO:0005576); Cytoskeleton (GO:0005856); Mitochondrion (GO:0005739)	11257002,10677499,11950601,11790298,16514417,16892067,16188874,15561729,15598749
00033	-	NP_003092.4	SOAT1	General	Acyltransferase activity (GO:0008415)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783); Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11483630,8407899,10623671,10623671
00034	-	NP_001631.3	APEH	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	10719179
00035	-	NP_570117.1	MADCAM1	General	Cell adhesion molecule activity (GO:0005194)	9873398	Cell-cell adhesion (GO:0016337)	9873398	Plasma membrane (GO:0005886)	9162097,8502297
00036	-	NP_054908.2	ADD1	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Nucleus (GO:0005634); Mitochondrion (GO:0005739); Cytoplasm (GO:0005737)	16289097,17081983,15598749,17081983
00036	00036_2	NP_001110.2	ADD1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
00037	-	NP_001608.1	ADD2	General	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	Nucleus (GO:0005634); Cytosol (GO:0005829); Cell junction (GO:0030054); Endocytic vesicle (GO:0030139); Centriole (GO:0005814); Chromosome (GO:0005694); Cytoplasm (GO:0005737)	16116087,17081983,16116087,16116087,16116087,16116087,16116087,17081983
00037	00037_1	NP_001608.1	ADD2	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
00037	00037_2	NP_059516.2	ADD2	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
00037	00037_3	NP_059517.1	ADD2	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
00037	00037_4	NP_059518.2	ADD2	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
00037	00037_5	NP_059522.1	ADD2	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
00038	-	NP_000013.2	ADA	General	Deaminase activity (GO:0019239)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	1856451,2770711
00039	-	NP_006712.2	ADK	General	Catalytic activity (GO:0003824)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Cytoplasm (GO:0005737)	10215863
00039	00039_1	NP_006712.2	ADK	Isoform_specific	Catalytic activity (GO:0003824)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
00039	00039_2	NP_001114.2	ADK	Isoform_specific	Catalytic activity (GO:0003824)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
00040	-	NP_000027.1	AMPD1	General	Deaminase activity (GO:0019239)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	12213808
00041	-	NP_000471.1	AMPD3	General	Deaminase activity (GO:0019239)	12604357	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	8140814
00041	00041_1	NP_000471.1	AMPD3	Isoform_specific	Deaminase activity (GO:0019239)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00042	-	NP_000665.1	ADORA1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	12475223,10502296
00043	-	NP_000666.2	ADORA2A	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	10951119,10951119
00044	-	NP_001677.2	ATP5B	General	Transporter activity (GO:0005215)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739); Plasma membrane (GO:0005886); Nucleolus (GO:0005730); Extracellular (GO:0005576); Zymogen granule (GO:0042588)	12511957,15033988,15598749,10077593,15635413,11790298,16188874,16278343
00045	-	BAA04466.1	ADCYAP1R1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11959368
00045	00045_1	BAA04466.1	ADCYAP1R1	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00045	00045_2	NP_001109.2	ADCYAP1R1	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00046	-	NP_000467.1	AK1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	10557075,12124227
00047	-	NP_001616.1	AK2	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739); Cytoplasm (GO:0005737)	195572,10218571,15598749,10218571
00047	00047_1	NP_001616.1	AK2	Isoform_specific	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00047	00047_2	NP_037543.1	AK2	Isoform_specific	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00048	-	NP_037542.1	AK3L1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152)	11485571	Mitochondrion (GO:0005739)	11485571,9504419,15598749
00048	00048_1	NP_037542.1	AK3L1	Isoform_specific	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00049	-	NP_000017.1	ADSL	General	Lyase activity (GO:0016829)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	9195976
00050	-	NP_001117.2	ADSS	General	Ligase activity (GO:0016874)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	8887278
00051	-	NP_001106.1	ADCY8	General	Adenylate cyclase activity (GO:0004016)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11457491
00052	-	NP_065433.2	ADCY2	General	Adenylate cyclase activity (GO:0004016)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	11549699,11549699
00052	00052_1	AAP97285.1	ADCY2	Isoform_specific	Adenylate cyclase activity (GO:0004016)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00052	00052_2	NP_065433.2	ADCY2	Isoform_specific	Adenylate cyclase activity (GO:0004016)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00053	-	NP_066939.1	ADCY1	General	Adenylate cyclase activity (GO:0004016)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11549699
00054	-	NP_001649.1	ARF1	General	GTPase activity (GO:0003924)	15581351	Signal transduction (GO:0007165); Endosome transport (GO:0016197)	15781476,10858454	Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794); Plasma membrane (GO:0005886); Endosome (GO:0005768); Golgi membrane (GO:0000139)	11278939,10858454,2105501,11726511,15793564,1680566,15781476,10828067,11278939,1680566,10858454,9417041
00055	-	NP_001653.1	ARF5	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794)	10828067,8355790,8491770,2105501
00056	-	NP_001650.1	ARF3	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794)	10828067,8355790,8491770,2105501
00057	-	NP_001113.2	PLIN2	General	Lipid transporter activity (GO:0005319)	12114189	Lipid storage (GO:0019915); Lipid transport (GO:0006869)	12114189,12114189	Endoplasmic reticulum (GO:0005783); Plasma membrane (GO:0005886); Extracellular (GO:0005576); Cytoplasm (GO:0005737)	9003395,1518805,9003395,15136565
00058	-	NP_001142.2	SLC25A4	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Mitochondrion (GO:0005739); Nucleus (GO:0005634)	8479824,15598749,12039962
00059	-	NP_004100.1	FDX1	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	3339111
00060	-	NP_004101.2	FDXR	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	12137805,2236061
00060	00060_1	NP_004101.2	FDXR	Isoform_specific	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	12137805,2236061
00060	00060_2	NP_077728.2	FDXR	Isoform_specific	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	12137805,2236061
00061	-	NP_001115.1	ADM	General	Peptide hormone (GO:0005180)	15336545	Regulation of physiological process (GO:0050791)	15336545	Extracellular (GO:0005576); Cytoplasm (GO:0005737)	11511315,12667630,12853384,11463574
00062	-	NP_000468.1	ALB	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	6275391,16188874
00063	-	NP_000658.1	ADH1A	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	12392591
00064	-	NP_000662.3	ADH5	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	10661511,1453005
00065	-	NP_000659.2	ADH1B	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	11398342
00066	-	NP_000660.1	ADH1C	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	10405330
00067	-	NP_001095940.1	ADH6	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	2198032
00068	-	NP_000661.2	ADH4	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	11279029
00069	-	NP_006057.1	AKR1A1	General	Oxidoreductase activity (GO:0016491)	2498333	Metabolism (GO:0008152)	10486210	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Mitochondrion (GO:0005739)	11716357,9693960,11716357,9693960
00070	-	NP_000025.1	ALDOA	General	Lyase activity (GO:0016829)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	,16263121,,16263121	Cytoplasm (GO:0005737); Cytosol (GO:0005829); Mitochondrion (GO:0005739); Nucleus (GO:0005634)	955981,766744,17081983,16263121,15598749,17081983
00070	00070_1	NP_000025.1	ALDOA	Isoform_specific	Lyase activity (GO:0016829)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00070	00070_2	NP_908930.1	ALDOA	Isoform_specific	Lyase activity (GO:0016829)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00070	00070_3	NP_908932.1	ALDOA	Isoform_specific	Lyase activity (GO:0016829)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00071	-	NP_001619.1	AKR1B1	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Extracellular (GO:0005576)	10510318,6417042,2112546
00072	-	NP_000005.2	A2M	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Cytosol (GO:0005829)	11823454,9831625,16199891,16188874,15561729
00073	-	NP_001124.1	AFM	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Extracellular (GO:0005576)	8648639,16199891,16188874
00074	-	NP_001125.1	AFP	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576); Cytoplasm (GO:0005737)	12361680,12361680
00075	-	NP_008816.3	ZFHX3	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	1719379,19059367
00076	-	NP_000253.1	NAGA	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Lysosome (GO:0005764)	10704524
00077	-	NP_937784.2	GANC	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Microsome (GO:0005792)	1352226,1352226
00078	-	NP_000672.3	ADRA2A	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Integral to membrane (GO:0016021); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	-,17081983,17081983
00079	-	NP_000669.1	ADRA1D	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	7746284
00080	-	NP_000670.1	ADRA1B	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	1706716
00081	-	NP_150646.3	ADRA1A	General	G-protein coupled receptor activity (GO:0004930)	15474515	Signal transduction (GO:0007165); Regulation of cell cycle (GO:0000074)	15297446,10860850,15297446,10860850	Integral to membrane (GO:0016021)	8396931
00081	00081_1	NP_150646.3	ADRA1A	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00081	00081_2	NP_000671.2	ADRA1A	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00081	00081_3	NP_150647.2	ADRA1A	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00081	00081_4	NP_150645.2	ADRA1A	Isoform_specific	-	-	-	-	Cell surface (GO:0009986)	10493934
00082	-	NP_002328.1	LRPAP1	General	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	Endoplasmic reticulum (GO:0005783); Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Extracellular (GO:0005576); Golgi apparatus (GO:0005794); Endosome (GO:0005768); Nucleus (GO:0005634)	9010785,1400426,7510321,7512726,9010785,9010785,17000644
00083	-	NP_002024.1	FUT4	General	Fucosyltransferase activity (GO:0008417)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794)	8116567,8116567,8116567
